code,municipality,orgcomp,manure,covercrop,croprot,apm,diverse,straw,famlab,lowincome,associated,regtech,credit,offfarminc
4211751,Otacilio Costa ,1.56,1.17,8.38,16.74,3.17,10.62,17.19,65.56,42.49,52.04,17.19,23.98,42.99
4211801,Ouro ,9.7,86.18,1.47,51.47,2.57,34.04,75.37,81.66,35.56,81.07,36.76,56.25,12.32
4211850,Ouro Verde ,4.89,5.54,24.82,24.47,16.92,32,77.04,72.47,43.08,74.32,19.03,41.99,8.76
4211876,Paial ,2.53,69.68,6.08,40.37,33.85,55.03,43.48,94.34,55.92,76.4,8.07,44.72,21.12
4211892,Painel ,7.45,42.91,9.12,11.48,6.89,29.47,.,81.57,39.04,65.57,11.8,17.7,38.03
4211900,Palhoca ,4.29,50,4.18,2.7,4.58,4.88,1.62,88.46,15.18,52.02,49.87,1.35,16.98
4212007,Palma Sola ,6.34,34.96,1.94,37.72,15.2,46.98,49.12,83.2,46.47,54.68,14.65,51.7,16.01
4212056,Palmeira ,0.41,1.65,16.81,10.7,1,9.27,.,91.95,54.64,79.93,36.45,22.74,33.11
4212106,Palmitos ,6.87,65.55,1.26,37.7,46.54,42.54,54.81,74.21,40.52,57.88,36.04,43.42,17.47
4212205,Papanduva ,2.95,4.3,16.95,5.8,19.39,17.66,18.89,76.63,45.51,25.6,42.09,39.35,15.99
4212239,Paraiso ,2.65,33.24,44.12,42.3,1.82,70.07,83.47,96.14,48.3,69.89,24.51,61.9,17.23
4212254,Passo de Torres ,0,66.28,8.93,36.67,2.22,16.85,.,58.43,19.1,65.56,22.22,23.33,16.67
4212270,Passos Maia ,19.34,27.16,25.77,33.92,1.56,60.98,40.74,87.18,57.89,54.78,33.92,32.16,44.05
4212304,Paulo Lopes ,21.37,72.65,32.03,5.4,2.52,7.26,1.08,84.29,34.07,12.59,9.71,1.8,31.65
4212403,Pedras Grandes ,13.03,28.32,3.65,6.53,8.84,30.17,4.42,89.98,34.71,62.32,8.21,18.74,17.26
4212502,Penha ,0,66.67,15.48,5.56,0,4.17,.,88.89,41.67,45.83,6.94,2.78,30.56
4212601,Peritiba ,6.23,83.47,0,53.71,49.36,46.48,76.98,75.66,40.73,79.54,27.62,61.64,26.6
4212700,Petrolandia ,6.09,36.27,36.08,20.25,6.87,29.19,24.54,76.65,28.82,43.44,13.5,33.74,13.25
4212908,Pinhalzinho ,3.08,79.51,23.13,55.03,10.06,66.62,79.09,86.4,34.26,69.97,38.99,59.43,15.09
4213005,Pinheiro Preto ,0.55,71.43,14.49,8.65,6.49,19.23,71.35,85.08,31.32,62.16,38.92,32.97,21.08
4213104,Piratuba ,8.05,91,4.96,33.27,11.91,57.96,29.11,85.31,53.7,54.63,24.39,46.88,22.31
4213153,Planalto Alegre ,5.04,87.96,28.06,38.95,39.5,51.36,52.21,76.88,46.42,69.89,38.4,52.49,16.85
4213203,Pomerode ,8.24,90.59,0.92,7.83,3.5,44.59,3.17,96.01,49.04,4.83,2.33,1.33,38.67
4213302,Ponte Alta ,1.96,18.63,0.6,13.55,1.79,31.1,13.04,90.89,38.93,38.36,1.28,21.23,31.97
4213351,Ponte Alta do Norte ,10.64,17.02,3.13,4.94,41.98,14.44,8.64,88.51,30,9.88,32.1,11.11,59.26
4213401,Ponte Serrada ,5.02,53.76,7.28,33.33,9.04,36.72,53.95,84.33,45.57,70.62,12.71,33.05,38.98
4213500,Porto Belo ,10,46.67,0,7.14,8.33,9.57,.,86.52,35.11,2.38,4.76,0,57.14
4213609,Porto Uniao ,11.64,25.13,8.58,32.38,12.86,42.76,55.36,90,49.73,58.45,16.55,34.76,15
4213708,Pouso Redondo ,0.56,14.32,3.56,11.75,5.46,15.4,14.52,68.95,30.56,45.6,23.41,23.82,27
4213807,Praia Grande ,7.58,6.36,7.07,1.41,0.47,25.5,0.23,77.73,38.14,41.78,29.34,37.56,19.72
4213906,Presidente Castello Branco ,0.38,91.67,3.57,41.33,23,31.06,70.67,90.65,28.88,67,40.67,55,38
4214003,Presidente Getulio ,3.51,55.04,26.38,26.32,13.4,22.44,44.26,79.91,30.23,55.14,8.13,35.17,20.22
4214102,Presidente Nereu ,0,21.26,59.54,6.81,58.2,16.21,13.93,60.5,28.3,21.05,62.23,27.24,19.81
4214151,Princesa ,4.12,50.8,29.57,51.02,9.98,62.72,75.51,87.04,44.61,47.17,26.98,68.48,13.15
4214201,Quilombo ,10.31,35.66,12.52,36.86,33.76,39.97,61.84,72.81,49.36,69.6,16.02,54.44,20.16
4214300,Rancho Queimado ,12.9,47.51,21.14,5.81,54.24,12.43,9.93,49.06,29.1,56.42,3.39,19.61,10.65
4214409,Rio das Antas ,12.22,70.47,16.46,20.33,29.16,32.55,73.92,91.36,31.58,37.78,39.84,29.77,10.27
4214508,Rio do Campo ,0.33,19.71,44.15,44.05,2.73,23.8,30.27,65.61,28.28,50.22,43.9,30.7,22.96
4214607,Rio do Oeste ,0.4,43.18,60.02,40.23,28.81,23.74,31.09,77.05,22.11,44.04,51.78,51.14,12.56
4214805,Rio do Sul ,0.74,56.86,2.34,8.55,17.42,34.59,26.77,86.99,43.66,55,16.13,15.81,30.65
4214706,Rio dos Cedros ,8.15,45.62,35.98,2.85,35.73,22.8,11.68,91.52,40.49,44.16,1.9,8.02,47.01
4214904,Rio Fortuna ,0.35,72.44,13.65,30.59,1.52,28.04,7.15,83.86,26.23,78.84,12.94,13.09,26.94
