code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4204558,Correia Pinto ,78.45,83.21,4.27,96.24,4.62,14.53,1.3,0,28.45,1.26,53.57,9.52,44.05,44.38,0,2.72,84.29,54.22,19.25,2.09,11.3,25.1,40.39
4204509,Corupa,22.6,57.31,1.98,96.88,1.13,30.88,27.69,14.03,1.14,7.32,14.36,5.69,10.03,21.03,4,1.3,93.79,25.28,43.41,30.08,21.3,11.38,3.82
4204608,Criciuma ,42.47,76.49,7.2,86.38,5.06,53.11,0.43,0.17,5.92,13.87,34.2,22.41,24.06,76.27,5.56,13.87,59.89,34.08,37.06,15.4,23.69,24.7,23.36
4204707,Cunha Pora,7.77,94.15,2.96,97.8,18.16,77.25,3.13,2.14,57.92,36.18,70.05,88.44,29.1,94.06,66.67,84.66,55.83,37.03,89.87,38.54,66.18,20.55,35.81
4204756,Cunhatai,25.59,89.3,0.56,96.66,0.84,71.03,42.39,8.89,54.62,22.43,76.54,74.02,24.3,91.51,0,68.07,89.5,33.94,74.41,31.93,63.59,17.41,55.87
4204806,Curitibanos ,46.14,65.09,18.35,96.16,9.82,15.22,15.17,0,21.98,9.38,33.68,43.91,4.06,65.67,3.28,27.25,80.99,42.39,41.13,12.34,37.28,41,24.8
4204905,Descanso ,9.47,91.72,5.98,97.91,8.07,45.77,15,1.56,47.28,35.93,87.8,90.44,18.05,91.08,46.15,82.18,68.31,34.69,74.77,22.8,65.2,17.07,39.13
4205001,Dionisio Cerqueira ,27.23,82.87,10.87,95.54,0.8,31.46,22.65,6.74,39.76,4.9,67.06,76.15,14.85,86.23,0,67.63,86.56,43.03,64.5,11.08,58.31,13.82,52.27
4205100,Dona Emma ,34.78,81.53,3.63,95.77,85.5,54.68,4.95,0.53,20.55,22.13,25.34,30.82,25.34,84.48,0,24.11,83.09,36.39,62.85,7.11,36.76,27.67,20.1
4205159,Doutor Pedrinho ,55.75,54.27,0.46,95.83,48.61,35.19,55.42,0,4.53,18.82,9.63,5.93,5.19,61.89,0,1.39,84.89,37.46,32.4,25.09,16.72,42.86,20
4205175,Entre Rios ,31.76,39.53,16.34,68.81,1.49,27.72,0,1.39,26.12,1.88,94.88,70.24,30,68.14,.,56.24,57.56,72.18,32.47,5.65,30.35,21.88,25.1
4205191,Ermo ,15,87.75,21.79,93.85,37.43,16.76,0.2,0,7.22,1.67,40.44,3.28,45.36,79.79,0,2.78,70.83,35.23,60.56,37.78,40.56,17.78,19.69
4205209,Erval Velho ,18.55,70.97,7.58,93.18,6.06,50,7.84,0,27.04,7.86,78.46,80.06,12.22,87.02,.,67.3,87.54,42.35,80.82,12.58,66.98,13.52,29.12
4205308,Faxinal dos Guedes ,22.01,81.73,1.97,88.7,30.47,27.76,8.87,9.09,46.65,39.71,93.18,90.82,10.82,95.35,0,76.56,74.48,40.14,79.67,35.89,37.56,29.9,35.09
4205357,Flor do Sertao ,10.77,86.05,0,93.44,22.78,49.81,2.21,0.74,26.54,70.38,83.7,82.96,6.3,79.8,0,76.92,81.25,48.66,65,23.85,42.69,18.85,54.7
4205407,Florianopolis ,99.79,49.27,64.03,5.28,1.98,97.03,25.91,0,14.79,7.29,86.49,32.43,54.05,43.1,3.77,1.88,80.47,34.03,14.58,2.5,1.67,59.58,7.69
4205431,Formosa do Sul ,38.07,70.22,80.21,93.64,0,8.83,29.76,0,73.86,2.79,94.22,90.88,8.51,93.75,0,74.11,77.36,48.25,65.74,3.81,60.41,16.5,24.26
4205456,Forquilhinha ,20.38,87.35,1.16,95.75,14.29,37.84,1.49,0,13.59,1.91,20.72,13.75,19.72,66.24,0.39,11.04,61.68,34.48,60.51,35.88,36.94,10.62,16.52
4205506,Fraiburgo ,34.45,73.05,10.49,90.6,8.14,37.25,3.04,0.19,26.4,10.93,39.73,47.88,13.24,70.22,14.29,37.33,89.13,48.14,55.24,8.19,27.62,16.69,47
4205555,Frei Rogerio ,9.48,91.69,15.11,91.84,51.36,39.27,9.25,0.54,17.97,25.82,23.58,44.32,6.53,98.25,0,39.54,78.95,43.57,73.53,16.67,54.25,26.14,38.6
4205605,Galvao ,17.56,81.13,2.86,95.51,7.35,36.73,11.36,1.81,50.38,42.75,84.94,90.38,16.74,89.36,.,71.76,90.36,43.97,67.94,27.48,55.73,18.32,54.96
4205704,Garopaba ,99.15,41.22,25.93,35.19,5.56,55.56,16.89,4.49,16.1,3.39,23.08,3.85,23.08,45.69,25,0.85,87.27,47.06,5.93,7.63,5.93,32.2,14.29
4205803,Garuva ,60.16,49.46,9.57,76.52,2.17,33.91,1.53,0,0.82,11.54,16.55,2.88,14.39,30.77,5.26,0.27,87.47,39.9,32.14,9.89,10.44,31.87,27.43
4205902,Gaspar ,64.18,41.32,4.35,66.3,31.52,38.04,0.43,0,7.98,5.32,48.5,10.53,39.1,46.9,0.54,3.19,94.7,40.07,29.26,7.45,11.35,31.21,15.56
4206009,Governador Celso Ramos ,91.94,27.16,31.82,45.45,4.55,100,1.05,0,9.68,3.23,13.64,9.09,4.55,15.63,0,3.23,56.06,42.86,30.65,22.58,8.06,62.9,10
4206108,Grao Para ,39.33,67.02,0.35,98.94,0.35,30.44,1.23,0,8.51,0.56,35.54,9.46,73.57,83.42,100,5.72,69.13,21.83,69.6,9.07,32.36,23.29,16.8
4206207,Gravatal ,83.35,27.77,27.03,59.8,1.01,71.28,0.24,0,19.29,8.61,17.14,2.86,14.29,24.39,0,0.23,93.28,45.12,42.14,6.77,6.43,52.01,10.33
4206306,Guabiruba ,55.56,86.67,2.56,97.44,53.85,76.92,1.41,0.34,14.81,0,0,0,0,88.57,0,.,47.22,47.22,18.52,7.41,0,14.81,8.33
4206405,Guaraciaba ,19.84,87.8,4.71,97.19,35.69,41.53,6.67,0,47.74,15.54,79.44,89.64,15.04,71.81,0,79.94,77.08,39.02,66.17,24.29,68.29,17.94,48.5
4206504,Guaramirim ,19.4,80.72,3.28,93.21,0.94,25.06,30.4,0.53,3,8.31,11.35,0.26,13.19,83.26,2.75,0.23,84.62,29.78,43.19,15.47,30.72,21.94,7.17
4206603,Guaruja do Sul ,26.16,79.93,4.48,93.27,4.26,69.06,2.46,0,37.03,29.49,84.91,75.47,33.12,88.29,5.26,66.74,63.5,48.3,53.66,20.18,45.45,29.49,35.28
4206652,Guatambu ,39.59,69.49,7.86,64.77,4.07,75.34,28.32,5.83,40.95,33.71,64.57,52.26,18.59,82.69,28.57,37.78,89.8,45.75,70.14,37.78,42.76,15.84,44.13
4206702,Herval dOeste ,26.41,78.95,1.19,95.24,0.24,18.57,6.59,0.54,7.26,2.82,98.82,99.05,0.47,78.74,0,79.84,94.89,24.61,69.56,33.27,54.23,8.47,26.17
4206751,Ibiam ,15.74,84.12,19.54,93.05,46.69,46.03,0,0,30.86,7.1,99.35,84.64,34.31,63.2,66.67,71.91,86.61,35.29,77.47,28.4,40.74,18.52,34.12
4206801,Ibicare,36.12,65.88,0,96.99,0.82,32.88,24.79,0,10.82,29.39,93.89,93.33,7.5,45.64,0,62.24,90.48,40.19,59.39,26.94,38.98,26.12,28.57
4206900,Ibirama ,28.2,71.68,1.23,95.06,11.11,71.6,0.54,0,6.89,5.25,36.03,35.63,19.84,76.62,21.88,25.57,75.32,30.57,41.64,10.16,13.44,27.21,26.75
4207007,Icara ,24.28,81.97,2.94,93.36,0.95,32.51,28.61,0,5.29,4.57,28.92,6.66,26.17,65.68,22.22,5.56,60.3,30.57,23.84,29.66,31.27,15.14,13.32
